"","date","rides"
"75343",2019-05-15,3647
"75344",2019-05-16,3300
"75345",2019-05-17,3281
"75346",2019-05-18,1551
"75347",2019-05-19,1186
"75348",2019-05-20,3511
"75349",2019-05-21,3630
"75350",2019-05-22,3541
"75351",2019-05-23,3556
"75352",2019-05-24,3152
"75353",2019-05-25,1473
"75354",2019-05-26,1228
"75355",2019-05-27,1028
"75356",2019-05-28,3266
"75357",2019-05-29,3486
"75358",2019-05-30,3628
"75359",2019-05-31,3393
"79759",2019-06-01,1403
"79760",2019-06-02,1245
"79761",2019-06-03,3417
"79762",2019-06-04,3541
"79763",2019-06-05,3496
"79764",2019-06-06,3567
"79765",2019-06-07,3601
"79766",2019-06-08,1699
"79767",2019-06-09,1223
"79768",2019-06-10,3415
"79769",2019-06-11,3668
"79770",2019-06-12,3506
"79771",2019-06-13,3730
"79772",2019-06-14,3463
"79773",2019-06-15,1543
"79774",2019-06-16,1224
"79775",2019-06-17,3599
"79776",2019-06-18,3943
"79777",2019-06-19,3844
"79778",2019-06-20,3820
"79779",2019-06-21,3817
"79780",2019-06-22,1935
"79781",2019-06-23,1302
"79782",2019-06-24,3901
"79783",2019-06-25,4196
"79784",2019-06-26,4334
"79785",2019-06-27,3952
"79786",2019-06-28,3895
"79787",2019-06-29,1668
"79788",2019-06-30,1426
"83969",2019-07-01,3679
"83970",2019-07-02,3878
"83971",2019-07-03,3636
"83972",2019-07-04,1379
"83973",2019-07-05,2438
"83974",2019-07-06,1416
"83975",2019-07-07,1205
"83976",2019-07-08,3839
"83977",2019-07-09,4104
"83978",2019-07-10,4153
"83979",2019-07-11,4010
"83980",2019-07-12,4106
"83981",2019-07-13,1873
"83982",2019-07-14,1498
"83983",2019-07-15,3917
"83984",2019-07-16,4035
"83985",2019-07-17,4041
"83986",2019-07-18,3750
"83987",2019-07-19,3451
"83988",2019-07-20,1468
"83989",2019-07-21,1133
"83990",2019-07-22,3946
"83991",2019-07-23,3943
"83992",2019-07-24,4114
"83993",2019-07-25,4048
"83994",2019-07-26,3767
"83995",2019-07-27,1771
"83996",2019-07-28,1320
"83997",2019-07-29,3452
"83998",2019-07-30,3649
"83999",2019-07-31,3716
"88440",2019-08-01,3613
"88441",2019-08-02,3416
"88442",2019-08-03,1621
"88443",2019-08-04,1327
"88444",2019-08-05,3432
"88445",2019-08-06,3451
"88446",2019-08-07,3543
"88447",2019-08-08,3328
"88448",2019-08-09,3301
"88449",2019-08-10,1413
"88450",2019-08-11,1172
"88451",2019-08-12,3000
"88452",2019-08-13,3184
"88453",2019-08-14,3224
"88454",2019-08-15,3270
"88455",2019-08-16,3044
"88456",2019-08-17,1472
"88457",2019-08-18,1112
"88458",2019-08-19,3337
"88459",2019-08-20,3196
"88460",2019-08-21,4075
"88461",2019-08-22,4659
"88462",2019-08-23,4980
"88463",2019-08-24,3105
"88464",2019-08-25,2611
"88465",2019-08-26,9046
"88466",2019-08-27,9188
"88467",2019-08-28,9265
"88468",2019-08-29,9033
"88469",2019-08-30,8529
"88470",2019-08-31,2272
"92841",2019-09-01,1724
"92842",2019-09-02,1637
"92843",2019-09-03,8771
"92844",2019-09-04,9515
"92845",2019-09-05,9452
"92846",2019-09-06,8682
"92847",2019-09-07,2535
"92848",2019-09-08,1645
