"","date","rides"
"61147",2019-01-18,6448
"61148",2019-01-19,3389
"61149",2019-01-20,2713
"61150",2019-01-21,3712
"61151",2019-01-22,6222
"61152",2019-01-23,6314
"61153",2019-01-24,6207
"61154",2019-01-25,5186
"61155",2019-01-26,3059
"61156",2019-01-27,2397
"61157",2019-01-28,6072
"61158",2019-01-29,5128
"61159",2019-01-30,576
"61160",2019-01-31,1908
"65190",2019-02-01,5685
"65191",2019-02-02,3620
"65192",2019-02-03,3062
"65193",2019-02-04,6297
"65194",2019-02-05,6322
"65195",2019-02-06,6459
"65196",2019-02-07,6406
"65197",2019-02-08,5864
"65198",2019-02-09,3773
"65199",2019-02-10,2748
"65200",2019-02-11,6038
"65201",2019-02-12,6389
"65202",2019-02-13,6294
"65203",2019-02-14,6540
"65204",2019-02-15,6120
"65205",2019-02-16,3995
"65206",2019-02-17,2965
"65207",2019-02-18,4671
"65208",2019-02-19,6267
"65209",2019-02-20,6389
"65210",2019-02-21,6486
"65211",2019-02-22,6295
"65212",2019-02-23,3376
"65213",2019-02-24,2637
"65214",2019-02-25,5810
"65215",2019-02-26,6096
"65216",2019-02-27,6055
"65217",2019-02-28,6197
"69581",2019-03-01,6055
"69582",2019-03-02,3543
"69583",2019-03-03,2574
"69584",2019-03-04,5402
"69585",2019-03-05,5928
"69586",2019-03-06,6112
"69587",2019-03-07,6048
"69588",2019-03-08,5618
"69589",2019-03-09,105
"69590",2019-03-10,77
"69591",2019-03-11,4693
"69592",2019-03-12,5063
"69593",2019-03-13,5041
"69594",2019-03-14,5016
"69595",2019-03-15,5227
"69596",2019-03-16,7664
"69597",2019-03-17,3000
"69598",2019-03-18,4996
"69599",2019-03-19,5199
"69600",2019-03-20,5063
"69601",2019-03-21,5164
"69602",2019-03-22,5086
"69603",2019-03-23,2734
"69604",2019-03-24,1997
"69605",2019-03-25,4661
"69606",2019-03-26,4900
"69607",2019-03-27,4929
"69608",2019-03-28,5119
"69609",2019-03-29,4720
"69610",2019-03-30,40
"69611",2019-03-31,61
"73948",2019-04-01,5365
"73949",2019-04-02,5916
"73950",2019-04-03,6149
"73951",2019-04-04,6242
"73952",2019-04-05,6149
"73953",2019-04-06,5302
"73954",2019-04-07,3177
"73955",2019-04-08,14425
"73956",2019-04-09,6362
"73957",2019-04-10,10064
"73958",2019-04-11,10336
"73959",2019-04-12,11177
"73960",2019-04-13,11886
"73961",2019-04-14,2699
"73962",2019-04-15,5782
"73963",2019-04-16,6072
"73964",2019-04-17,6128
"73965",2019-04-18,6224
"73966",2019-04-19,10877
"73967",2019-04-20,8520
"73968",2019-04-21,8807
"73969",2019-04-22,5754
"73970",2019-04-23,11953
"73971",2019-04-24,12396
"73972",2019-04-25,13377
"73973",2019-04-26,6628
"73974",2019-04-27,3653
"73975",2019-04-28,3063
"73976",2019-04-29,5679
"73977",2019-04-30,5829
"78336",2019-05-01,6378
"78337",2019-05-02,6330
"78338",2019-05-03,13137
"78339",2019-05-04,11843
"78340",2019-05-05,10081
"78341",2019-05-06,11210
"78342",2019-05-07,10421
"78343",2019-05-08,10992
"78344",2019-05-09,11056
"78345",2019-05-10,14016
"78346",2019-05-11,12318
"78347",2019-05-12,7398
"78348",2019-05-13,6030
"78349",2019-05-14,6439
"78350",2019-05-15,6566
"78351",2019-05-16,6349
"78352",2019-05-17,6400
"78353",2019-05-18,4761
"78354",2019-05-19,3600
"78355",2019-05-20,10735
"78356",2019-05-21,9805
"78357",2019-05-22,11341
"78358",2019-05-23,12139
"78359",2019-05-24,10810
"78360",2019-05-25,9897
"78361",2019-05-26,12257
"78362",2019-05-27,2641
"78363",2019-05-28,6060
"78364",2019-05-29,6386
"78365",2019-05-30,6759
"78366",2019-05-31,6808
"82669",2019-06-01,5059
"82670",2019-06-02,4123
"82671",2019-06-03,12676
"82672",2019-06-04,12273
"82673",2019-06-05,12881
"82674",2019-06-06,14041
"82675",2019-06-07,15802
"82676",2019-06-08,13512
"82677",2019-06-09,10553
"82678",2019-06-10,6417
"82679",2019-06-11,6677
"82680",2019-06-12,6515
"82681",2019-06-13,6888
"82682",2019-06-14,13213
"82683",2019-06-15,12001
"82684",2019-06-16,4721
"82685",2019-06-17,6397
"82686",2019-06-18,14322
"82687",2019-06-19,14185
"82688",2019-06-20,14181
"82689",2019-06-21,16661
"82690",2019-06-22,19828
"82691",2019-06-23,13795
"82692",2019-06-24,13543
"82693",2019-06-25,13242
"82694",2019-06-26,14798
"82695",2019-06-27,15849
"82696",2019-06-28,6574
